72190,19959,0.201236,movie
72190,19898,0.200313,movie
72190,105864,0.196813,movie
72190,91586,0.196813,movie
72190,10329,0.192669,movie
127585,36668,0.390868,movie
127585,36658,0.363636,movie
127585,246655,0.35558,movie
127585,49538,0.333333,movie
127585,36657,0.328976,movie
127585,76170,0.307729,movie
127585,271110,0.294245,movie
127585,2080,0.26801,movie
127585,87101,0.248682,movie
127585,1452,0.242424,movie
127585,76338,0.238833,movie
127585,99861,0.23355,movie
127585,8831,0.23355,movie
127585,8698,0.227921,movie
127585,11551,0.227921,movie
54138,188927,0.300273,movie
54138,168,0.268993,movie
54138,271110,0.259706,movie
54138,1771,0.235393,movie
54138,193,0.235219,movie
54138,152,0.234989,movie
54138,157,0.234989,movie
54138,13475,0.231627,movie
54138,174,0.225991,movie
54138,172,0.225991,movie
54138,200,0.225991,movie
54138,201,0.225836,movie
54138,68721,0.221766,movie
54138,7450,0.219581,movie
54138,11260,0.217322,movie
81005,29339,0.255883,movie
81005,292481,0.238883,movie
81005,20542,0.222911,movie
81005,8840,0.221601,movie
81005,10196,0.219687,movie
81005,253253,0.209165,movie
81005,49521,0.203289,movie
81005,2008,0.20292,movie
81005,11876,0.199431,movie
81005,16353,0.199205,movie
81005,658,0.198517,movie
81005,10530,0.198206,movie
81005,228326,0.192006,movie
81005,9543,0.192006,movie
81005,70829,0.191663,movie
64682,20024,0.21183,movie
64682,18206,0.206598,movie
64682,3558,0.201737,movie
64682,1124,0.197386,movie
64682,75986,0.195047,movie
64682,11027,0.194461,movie
64682,37842,0.192879,movie
64682,74457,0.188982,movie
64682,13994,0.188982,movie
64682,4148,0.181848,movie
64682,42497,0.179284,movie
64682,24985,0.178174,movie
64682,9839,0.178174,movie
64682,324352,0.175466,movie
64682,176077,0.173422,movie
9543,3040,0.25943,movie
9543,116711,0.254,movie
9543,11818,0.250122,movie
9543,81188,0.246564,movie
9543,123553,0.244412,movie
9543,79698,0.235783,movie
9543,10448,0.229752,movie
9543,21755,0.22225,movie
9543,308531,0.22225,movie
9543,13600,0.22171,movie
9543,127585,0.218857,movie
9543,47327,0.216612,movie
9543,11232,0.216007,movie
9543,9806,0.212512,movie
9543,812,0.211851,movie
68726,75612,0.231627,movie
68726,72431,0.181071,movie
68726,107985,0.176242,movie
68726,7450,0.175665,movie
68726,10724,0.168393,movie
68726,37931,0.16764,movie
68726,33106,0.160046,movie
68726,563,0.159968,movie
68726,5491,0.158052,movie
